model,current_evidence,prior_schizophrenia,n,mean_confidence,sd_confidence,median_confidence
Claude Sonnet 5,Voices ceased,No,1000,86.92004,4.700061337363051,86.89500000000001
Claude Sonnet 5,Voices ceased,Yes,1000,89.77002,6.48007190789821,90.795
Claude Sonnet 5,Voices persisted,No,1000,90.05014,5.3499004865152076,90.42
Claude Sonnet 5,Voices persisted,Yes,1000,93.44991999999999,3.8202158633829653,93.69999999999999
GPT-5.6 Sol,Voices ceased,No,1000,87.13014,6.229952189598625,87.42
GPT-5.6 Sol,Voices ceased,Yes,1000,91.8001,4.549951653594798,92.16
GPT-5.6 Sol,Voices persisted,No,1000,90.93011,5.409891589941049,91.42500000000001
GPT-5.6 Sol,Voices persisted,Yes,1000,94.56007000000001,3.9100052219832055,95.32499999999999
Gemini 3.6 Flash,Voices ceased,No,1000,88.95993,7.0300236790517285,89.64
Gemini 3.6 Flash,Voices ceased,Yes,1000,93.20009,4.940053949596596,94.025
Gemini 3.6 Flash,Voices persisted,No,1000,90.41011999999999,5.220248804720248,90.71000000000001
Gemini 3.6 Flash,Voices persisted,Yes,1000,95.37008,3.7399116477174625,96.435
Grok 4.6,Voices ceased,No,1000,91.49999000000001,4.829902551662774,91.89
Grok 4.6,Voices ceased,Yes,1000,93.17011,4.709877539207823,93.9
Grok 4.6,Voices persisted,No,1000,92.48005,4.0900468188616745,92.83
Grok 4.6,Voices persisted,Yes,1000,95.38002,3.09987703582533,95.84
Mistral Large 2512,Voices ceased,No,1000,86.40994,6.7300870624582805,86.64500000000001
Mistral Large 2512,Voices ceased,Yes,1000,90.56988,4.829902788519306,90.92
Mistral Large 2512,Voices persisted,No,1000,88.36995,6.950122696974715,89.235
Mistral Large 2512,Voices persisted,Yes,1000,93.62007000000001,4.049899032973199,94.17
